,domain,SPF,DKIM,DMARC
764,ytnc.edu.cn,False,False,False
765,ytu.edu.cn,False,False,False
766,yznu.cn,True,False,False
767,yzu.edu.cn,True,False,True
768,zdsoft.com.cn,False,False,False
769,zgfxy.cn,False,False,False
770,zhnut.edu.cn,False,False,False
771,zjfc.edu.cn,False,False,False
772,zjgsu.edu.cn,True,False,True
773,zjnu.edu.cn,True,False,False
774,zjou.edu.cn,True,False,True
775,zju.edu.cn,True,False,False
776,zjut.edu.cn,True,False,True
777,znuel.net,False,False,False
778,znufe.edu.cn,False,False,False
779,zsb.scfai.edu.cn,False,False,False
780,zstu.edu.cn,True,False,True
781,zsu.edu.cn,False,False,False
782,zzgc.edu.cn,False,False,False
783,zzut.edu.cn,True,False,False
784,cust.edu.cn,True,False,True
785,stu.gcu.edu.cn,True,False,False
786,xhu.edu.cn,False,False,False
787,nuist.edu.cn,True,False,False
788,lynu.edu.cn,False,False,False
789,hbc.edu.cn,True,False,False
