,name,domain,SPF,DMARC,DKIM
106,Guangzhou University,gzhu.edu.cn,True,False,False
107,Guizhou Normal University,gznu.edu.cn,True,True,False
108,Sun Yat-Sen University of Medical Sciences,gzsums.edu.cn,False,False,False
109,Guizhou University,gzu.edu.cn,True,False,False
110,Hainan Normal University,hainnu.edu.cn,True,True,False
111,Hainan University,hainu.edu.cn,False,False,False
112,Hebei Academy of Fine Art,hbafa.com,False,False,False
113,Hebei University,hbu.edu.cn,True,False,False
114,University of Petroleum (East China),hdpu.edu.cn,False,False,False
115,Hebei Agricultural University,hebau.edu.cn,True,False,False
116,Hebei United University,hebeiuniteduniversity.com,True,False,False
117,Hebei Medical University,hebmu.edu.cn,True,True,False
118,Hebei Normal University,hebnu.edu.cn,False,False,False
119,Hebei University of Science and Technology,hebust.edu.cn,True,False,False
120,Hebei University of Technology,hebut.edu.cn,True,False,False
121,Henan Normal University,henannu.edu.cn,False,False,False
122,Henan Agriculture University,henau.edu.cn,True,True,False
123,Henan Univeristy,henu.edu.cn,True,False,False
124,Hebei University of Economics and Trade,heuet.edu.cn,True,False,False
125,Hefei University of Technology,hfut.edu.cn,True,True,False
126,Huaihai Institute of Technology,hhit.edu.cn,False,False,False
127,Huaihua Radio and Television University,hhrtu.com,False,False,False
128,Huanghe Science & Technology University,hhstu.edu.cn,True,True,False
129,Hohai University Changzhou,hhuc.edu.cn,False,False,False
130,Hehai University,hhu.edu.cn,True,True,False
131,Huaihua University,hhu.edu.cn,True,True,False
132,Harbin Institute of Technology,hit.edu.cn,True,False,False
133,Heilongjiang August 1st Reclamation University,hlaflru.edu.cn,False,False,False
134,Heilongjiang Commercial University,hljcu.edu.cn,False,False,False
135,Heilongjiang University,hlju.edu.cn,True,False,False
136,Henan Buddhist College,hnfjxy.cn,False,False,False
137,Logistics Engineering University of PLA,hqgc.net,False,False,False
138,Huaqiao University Quanzhuo,hqu.edu.cn,True,False,False
139,Harbin Engineering University,hrbeu.edu.cn,True,False,False
140,Harbin Medical University,hrbmu.edu.cn,True,True,False
141,Harbin Normal University,hrbnu.edu.cn,True,True,False
142,Harbin University of Civil Engineering & Architecture,hrbucea.edu.cn,False,False,False
143,Harbin University of Science and Technology,hrbust.edu.cn,False,False,False
144,Hubei University,hubu.edu.cn,True,False,False
145,Hunan Agricultural University,hunau.net,True,False,False
146,Hunan Normal University,hunnu.edu.cn,False,False,False
147,Hunan University,hunu.edu.cn,False,False,False
148,Huazhong University of Science and Technology,hust.edu.cn,True,False,False
149,Huazhong Agricultural University,hzau.edu.cn,True,False,False
150,Huizhou University,hzu.edu.cn,False,False,False
151,International Business University of Beijing,ibub.edu.cn,False,False,False
152,Inner Mongolia Agricultural University,imau.edu.cn,False,False,False
153,Inner Mongolia Normal University,imnu.edu.cn,True,False,False
154,Inner Mongolia Polytechnic University,impu.edu.cn,False,False,False
155,Inner Mongolia University,imu.edu.cn,True,False,False
156,Beijing Union University,ipdbuu.com.cn,False,False,False
157,Jingdezhen China Institute,jci.edu.cn,True,True,False
158,Jilin Agricultural University,jlau.edu.cn,True,True,False
159,Jilin University,jlu.edu.cn,True,False,False
160,Jimei University,jmu.edu.cn,True,True,False
161,Jinan University,jnu.edu.cn,True,False,False
162,Jishou University,jsu.edu.cn,True,False,False
163,Jiangsu University of Science and Technology,jsust.edu.cn,False,False,False
164,Jiangxi University of Traditional Chinese Medicine,jutcm.com,False,False,False
165,Jilin University of Technology,jut.edu.cn,False,False,False
166,Jiangxi Agricultural University,jxau.edu.cn,True,False,False
167,Jiangxi Normal University,jxnu.edu.cn,True,False,False
168,Jiangxi University of Finance and Economics,jxufe.edu.cn,True,True,False
169,Jiaying University,jyu.edu.cn,False,False,False
170,Kunmimg University of Science and Technology,kmust.edu.cn,False,False,False
171,Liaocheng Teachers University,lctu.edu.cn,False,False,False
172,Shanghai Lida Polytechnic Institute,lidapoly.com,False,False,False
173,Shanghai Lixin University of Commerce,lixin.edu.cn,True,False,False
174,Liaoning Normal University,lnnu.edu.cn,True,True,False
175,Liaoning Technical University,lntu.edu.cn,False,False,False
176,Liaoning University,lnu.edu.cn,True,False,False
177,Luxun Academy of Fine Art,lumei.edu.cn,True,True,False
178,Luzhou Medical College,lzmc.edu.cn,False,False,False
179,Lanzhou University,lzu.edu.cn,True,True,False
180,Ningbo University,nbu.edu.cn,True,True,False
181,Ningbo University of Technology,nbut.edu.cn,True,False,False
182,North China Electric Power University,ncepubj.edu.cn,False,False,False
183,Nanchang University,ncu.edu.cn,True,True,False
184,North China University of Technology,ncut.edu.cn,True,False,False
185,Northeast Agricultural University,neau.edu.cn,True,True,False
186,Northeast Forest University,nefu.edu.cn,True,False,False
187,Neijiang Teacher University,neijtc.edu.cn,False,False,False
188,Northeast Normal University,nenu.edu.cn,True,True,False
189,Northeastern University,neu.edu.cn,True,False,False
190,Northeast University at Qinhuangdao Campus,neuq.edu.cn,False,True,False
191,Beijing New Asia University,newasia.bj.edu.cn,False,False,False
192,Nanjing Agricultural University,njau.edu.cn,True,True,False
193,Nanjing Forestry University,njfu.edu.cn,True,False,False
194,Nanjing Institute of Meteorology,njim.edu.cn,False,False,False
195,Nanjing Medical University,njmu.edu.cn,True,True,False
196,Nanjing Normal University,njnu.edu.cn,True,False,False
197,Northern Jiaotong University,njtu.edu.cn,True,False,False
198,Nanjing University of Chemical Technology,njuct.edu.cn,False,False,False
199,Nanjing University,nju.edu.cn,True,True,False
200,Nanjing University of Economics,njue.edu.cn,False,False,False
201,Nanjing University of Posts and Telecommunications,njupt.edu.cn,True,True,False
202,Nanjing University of Science and Technology,njust.edu.cn,True,False,False
203,Nanjing University of Traditional Chinese Medicine,njutcm.edu.cn,False,False,False
204,Nanjing Union Theological Seminary,njuts.cn,False,False,False
205,Nankai University,nku.nankai.edu.cn,False,False,False
206,The University of Nottingham Ningbo China,nottingham.edu.cn,True,False,False
207,Northern Sichuan Medical College,nsmc.edu.cn,True,False,False
208,Nanjing University of Aeronautics and Astronautics,nuaa.edu.cn,True,True,False
209,National University of Defense Technology,nudt.edu.cn,True,False,False
210,Northwest A&F University,nwau.edu.cn,False,False,False
211,Northwest Normal University Lanzhou,nwnu.edu.cn,False,False,False
212,Northwest Polytechnical University Xi'an,nwpu.edu.cn,True,True,False
213,Northwest University Xi'an,nwu.edu.cn,True,False,False
214,Ningxia Medical College,nxmc.edu.cn,False,False,False
215,Ningxia University,nxu.edu.cn,True,False,False
216,Ocean University of China,ouc.edu.cn,True,False,False
217,Guangdong Peizheng College,peizheng.com.cn,False,False,False
218,Peking University,pku.edu.cn,True,True,False
219,Panzhihua University,pzhu.edu.cn,True,False,False
220,Qingdao University,qdu.edu.cn,True,True,False
221,Qufu Normal University,qfnu.edu.cn,True,False,False
222,Qinghai Normal University,qhnu.edu.cn,True,True,False
223,Qinghai Radio & Television University,qhrtvu.edu.cn,False,False,False
224,Qinghai University,qhu.edu.cn,True,False,False
225,Qingdao University of Science and Technology,qust.edu.cn,True,False,False
226,Qiongzhou University,qzu.edu.cn,False,False,False
227,Renmin University of China,ruc.edu.cn,True,True,False
